Code,Days,Times,Location
47196,W,6:00- 8:50p,MSTB 129
47197,Th,8:00-10:50 ,MSTB 133
47198,Th,11:00- 1:50p,MSTB 133
47199,Th,2:30- 5:20p,MSTB 133
47200,Th,6:00- 8:50p,MSTB 133
47201,Th,6:00- 8:50p,MSTB 129
47202,F,8:00-10:50 ,MSTB 129
47203,F,11:00- 1:50p,MSTB 129
47204,F,2:30- 5:20p,MSTB 129
47205,F,6:00- 8:50p,MSTB 129
47206,Th,2:30- 5:20p,MSTB 129
47230,TuTh,8:00- 9:20 ,EH 1200
47231,W,8:00- 8:50 ,RH 108
47232,W,9:00- 9:50 ,RH 108
47233,W,10:00-10:50 ,RH 188
47234,W,11:00-11:50 ,RH 108
47235,W,12:00-12:50p,HICF 100N
47236,W,1:00- 1:50p,RH 108
47237,W,2:00- 2:50p,RH 108
47238,W,4:00- 4:50p,RH 108
47240,MWF,2:00- 2:50p,EH 1200
47241,Th,8:00- 8:50 ,HICF 100P
47242,Th,9:00- 9:50 ,HICF 100P
47243,Th,10:00-10:50 ,HICF 100P
47244,Th,11:00-11:50 ,HICF 100P
47245,Th,12:00-12:50p,HICF 100P
47246,Th,1:00- 1:50p,HICF 100P
47247,Th,2:00- 2:50p,HICF 100P
47250,TuTh,12:30- 1:50p,SE2 1304
47251,W,10:00-10:50 ,RH 192
47253,W,1:00- 1:50p,PSCB 240
47263,M,3:00- 4:50p,MSTB 125
47264,M,5:00- 6:50p,MSTB 125
47265,M,7:00- 8:50p,MSTB 125
47266,Tu,9:00-10:50 ,MSTB 125
47267,Tu,11:00-12:50p,MSTB 125
47268,Tu,1:00- 2:50p,MSTB 125
47269,Tu,3:00- 4:50p,MSTB 125
47270,Tu,5:00- 6:50p,MSTB 125
47271,Tu,7:00- 8:50p,MSTB 125
47272,W,5:00- 6:50p,MSTB 125
47273,W,7:00- 8:50p,MSTB 125
47274,Th,9:00-10:50 ,MSTB 125
47275,Th,11:00-12:50p,MSTB 125
47276,Th,1:00- 2:50p,MSTB 125
47277,Th,3:00- 4:50p,MSTB 125
47278,Th,5:00- 6:50p,MSTB 125
47279,F,9:00-10:50 ,MSTB 125
47280,F,11:00-12:50p,MSTB 125
47281,F,1:00- 2:50p,MSTB 125
47282,F,3:00- 4:50p,MSTB 125
47283,Th,7:00- 8:50p,MSTB 125
47284,F,5:00- 6:50p,MSTB 125
47285,F,7:00- 8:50p,MSTB 125
47286,W,9:00-10:50 ,MSTB 125
47287,W,11:00-12:50p,MSTB 125
47288,W,1:00- 2:50p,MSTB 125
47289,W,3:00- 4:50p,MSTB 125
47300,MWF,9:00- 9:50 ,HSLH 100A
47301,Th,8:00- 8:50 ,HH 254
47303,Th,11:00-11:50 ,RH 108
47304,Th,1:00- 1:50p,RH 108
47305,Th,2:00- 2:50p,RH 108
47306,Th,3:00- 3:50p,RH 108
47307,Th,4:00- 4:50p,RH 108
47308,Th,5:00- 5:50p,RH 108
47320,TuTh,9:30-10:50 ,HSLH 100A
47321,F,8:00- 8:50 ,HICF 100M
47323,F,10:00-10:50 ,HICF 100P
47325,F,12:00-12:50p,HICF 100P
47326,F,1:00- 1:50p,HICF 100P
47327,F,2:00- 2:50p,HICF 100P
47328,F,3:00- 3:50p,HICF 100P
47440,MWF,12:00-12:50p,HG 1800
47443,F,9:00- 9:50 ,PSCB 240
47444,F,1:00- 1:50p,DBH 1422
47450,MWF,1:00- 1:50p,PCB 1100
47451,W,9:00- 9:50 ,PSCB 140
47452,W,10:00-10:50 ,PSCB 140
47453,W,11:00-11:50 ,MSTB 118
47455,Tu,5:00- 5:50p,PSCB 120
47456,Th,5:00- 5:50p,PSCB 120
47457,TuTh,11:00-12:20p,MSTB 118
47458,F,10:00-10:50 ,RH 108
47459,F,6:00- 6:50p,MSTB 110
47460,F,12:00-12:50p,MSTB 110
47461,M,3:00- 5:50p,MSTB 117
47463,M,6:00- 8:50p,MSTB 117
47465,Tu,8:00-10:50 ,MSTB 117
47467,Tu,11:00- 1:50p,MSTB 117
47469,Tu,2:30- 5:20p,MSTB 117
47470,Tu,6:00- 8:50p,MSTB 117
47473,W,8:00-10:50 ,MSTB 117
47475,W,11:00- 1:50p,MSTB 117
47477,W,2:30- 5:20p,MSTB 117
47478,W,6:00- 8:50p,MSTB 117
47481,Th,8:00-10:50 ,MSTB 117
47483,Th,11:00- 1:50p,MSTB 117
47487,Th,2:30- 5:20p,MSTB 117
47488,Th,6:00- 8:50p,MSTB 117
47489,F,8:00-10:50 ,MSTB 117
47491,F,11:00- 1:50p,MSTB 117
47492,F,2:30- 5:20p,MSTB 117
47494,F,6:00- 8:50p,MSTB 117
47505,TuTh,9:30-10:50 ,SSL 140
47506,M,9:00- 9:50 ,MSTB 118
47507,M,4:00- 4:50p,PSCB 140
47581,Tu,2:00- 2:50p,DBH 1425
47641,M,1:00- 1:50p,RH 184
47660,TuTh,9:00-10:20 ,PSCB 140
47680,MWF,9:00- 9:50 ,SSL 270
47682,W,4:00- 4:50p,SH 128
47740,TuTh,2:00- 3:20p,DBH 1200
47780,M,2:00- 3:50p,MSTB 210
47781,WF,2:00- 3:50p,MSTB 210
47800,MWF,10:00-10:50 ,DBH 1425
48420,MWF,9:00- 9:50 ,MSTB 110
48421,F,10:00-10:50 ,MSTB 110
48425,TuTh,9:30-10:50 ,SSPA 1165
48430,MW,1:00- 2:20p,SST 120
48435,MWF,9:30-10:50 ,FRH 4135
48446,Tu,2:00- 2:50p,DBH 1425
48455,MWF,10:00-10:50 ,DBH 1425
48470,MW,9:00-10:20 ,FRH 2111
48480,TuTh,2:00- 3:20p,FRH 2111
48485,MW,12:30- 1:50p,FRH 4135
48505,MW,3:30- 4:50p,MSTB 114
48520,W,4:00- 5:20p,RH 192
48530,Tu,11:00-12:20p,FRH 4135
48540,Tu,4:00- 5:20p,RH 192
48543,Th,10:00-10:50 ,MH 1246
48565,F,12:00-12:50p,RH 108
94700,TuTh,2:30- 3:50p,HRH 3022
67010,TuTh,9:30-10:50 ,ELH 100
67011,M,11:00-11:50 ,SSL 119
67012,M,1:00- 1:50p,SE 101
67013,Tu,2:00- 2:50p,SE 101
67014,W,12:00-12:50p,DBH 1200
67015,W,3:00- 3:50p,RH 184
67016,W,4:00- 4:50p,RH 184
67017,Th,1:00- 1:50p,SST 238
67018,Th,2:00- 2:50p,RH 188
67019,F,9:00- 9:50 ,DBH 1200
67070,MWF,10:00-10:50 ,SSL 140
67071,Tu,10:00-10:50 ,SSL 129
67072,W,2:00- 2:50p,SE2 1306
67073,Th,11:00-11:50 ,SSPA 1170
67081,M,1:00- 1:50p,SE2 1306
67082,Tu,2:00- 2:50p,SSL 206
67083,Tu,3:00- 3:50p,SSPA 1165
67084,W,11:00-11:50 ,SSL 145
67085,Th,10:00-10:50 ,SSL 145
67086,F,12:00-12:50p,SE2 1304
67100,MWF,11:00-11:50 ,ALP 2300
67102,Tu,10:00-10:50 ,SSL 171
67103,Tu,3:00- 3:50p,SSL 206
67104,Tu,4:00- 4:50p,SSL 105
67105,Th,10:00-10:50 ,SSL 119
67106,Th,11:00-11:50 ,SSL 206
67107,Th,2:00- 2:50p,SSTR 100
67108,M,2:00- 2:50p,ALP 1100
67109,F,1:00- 1:50p,SSL 122
67120,TuTh,9:30-10:50 ,SH 134
67130,TuTh,11:00-12:20p,SSL 140
67131,M,1:00- 1:50p,SSPA 1165
67132,W,1:00- 1:50p,SSL 206
67133,F,11:00-11:50 ,SSL 206
67170,TuTh,9:30-10:50 ,RH 104
67171,M,12:00-12:50p,SST 120
67172,W,10:00-10:50 ,SSL 129
67173,F,11:00-11:50 ,SSPA 1170
67200,TuTh,2:00- 3:20p,RH 104
67210,TuTh,11:00-12:20p,RH 104
67211,M,1:00- 1:50p,SSL 206
67212,M,4:00- 4:50p,SSPA 1165
67213,W,12:00-12:50p,SSL 119
67214,W,3:00- 3:50p,SSL 129
67215,Th,3:00- 3:50p,SSL 129
67216,F,10:00-10:50 ,SSL 129
67238,TuTh,12:30- 1:50p,SSTR 100
67260,TuTh,3:30- 4:50p,SH 174
67275,TuTh,2:00- 3:20p,SSPA 1170
67280,TuTh,11:00-12:20p,SH 128
67281,M,11:00-11:50 ,SST 120
67282,Tu,2:00- 2:50p,SSPA 1165
67283,W,3:00- 3:50p,RH 188
67295,TuTh,2:00- 3:20p,SST 120
67296,M,2:00- 2:50p,SSL 119
67297,W,11:00-11:50 ,SSL 119
67298,MWF,11:00-11:50 ,SSL 140
67310,TuTh,3:30- 4:50p,MSTB 118
67311,M,2:00- 2:50p,SSPA 1165
67312,W,12:00-12:50p,SST 238
67313,F,10:00-10:50 ,SSL 206
67330,TuTh,11:00-12:20p,ALP 2100
67350,TuTh,2:00- 3:20p,ALP 2600
67360,MWF,10:00-10:50 ,SE2 1304
67386,TuTh,12:30- 1:50p,SE 101
67400,TuTh,9:30-10:50 ,DBH 1200
67415,TuTh,2:00- 3:20p,HH 262
67445,TuTh,3:30- 4:50p,SST 120
67460,MWF,11:00-11:50 ,SSL 228
67461,Tu,10:00-10:50 ,SSL 145
67462,W,9:00- 9:50 ,SSL 145
67463,F,1:00- 1:50p,SSL 206
67530,W,6:00- 8:50p,ALP 1700
67560,M,6:00- 8:50p,HH 262
67570,MWF,12:00-12:50p,SSL 140
67600,MWF,1:00- 1:50p,SSPA 1170
67810,F,10:00-12:50p,SST 630
67812,Th,2:00- 4:50p,SSPA 1165
67815,M,5:30- 8:20p,SSPA 1170
67820,W,3:00- 5:50p,SSPB 5206
67825,F,2:00- 4:50p,SSPB 5250
67845,M,2:00- 4:50p,SSPB 5206
67850,M,9:00-11:50 ,SSPB 5206
67870,Tu,1:00- 3:50p,SSPB 5206
54000,TuTh,8:00- 9:20 ,ON LINE
54001,Tu,10:00-10:50 ,ON LINE
54002,Tu,11:00-11:50 ,ON LINE
54003,W,5:00- 5:50p,ON LINE
54004,W,6:00- 6:50p,ON LINE
54010,TuTh,9:30-10:50 ,ON LINE
54011,Tu,4:00- 4:50p,ON LINE
54012,Tu,6:00- 6:50p,ON LINE
54013,W,2:00- 2:50p,ON LINE
54014,W,3:00- 3:50p,ON LINE
54020,TuTh,9:30-10:50 ,ON LINE
54021,Tu,2:00- 2:50p,ON LINE
54022,Tu,5:00- 5:50p,ON LINE
54023,W,5:00- 5:50p,ON LINE
54024,W,6:00- 6:50p,ON LINE
54030,TuTh,11:00-12:20p,ON LINE
54031,Tu,6:00- 6:50p,ON LINE
54032,Tu,7:00- 7:50p,ON LINE
54033,W,3:00- 3:50p,ON LINE
54034,W,4:00- 4:50p,ON LINE
54040,TuTh,12:30- 1:50p,PSLH 100
54041,M,2:00- 2:50p,SST 220B
54042,M,5:00- 5:50p,SST 220B
54043,M,6:00- 6:50p,SST 220B
54044,Tu,6:00- 6:50p,SST 220B
54045,Tu,7:00- 7:50p,HH 262
54046,W,3:00- 3:50p,HH 262
54047,W,5:00- 5:50p,SST 220B
54048,W,6:00- 6:50p,HH 262
54050,TuTh,2:00- 3:20p,ALP 1300
54051,W,3:00- 3:50p,SST 220B
54052,W,4:00- 4:50p,SST 220B
54053,W,5:00- 5:50p,SST 220A
54054,W,6:00- 6:50p,SST 220A
54055,Th,4:00- 4:50p,ALP 2500
54056,Th,5:00- 5:50p,SST 220A
54057,Th,6:00- 6:50p,SST 220A
54058,Th,7:00- 7:50p,SST 220A
54070,TuTh,9:30-10:50 ,SSLH 100
54080,TuTh,2:00- 3:20p,BS3 1200
54090,TuTh,5:00- 6:20p,HH 178
54110,Tu,7:00- 9:50p,SSPA 1100
54130,W,7:00- 9:50p,ELH 100
54140,TuTh,3:30- 4:50p,HSLH 100A
54155,TuTh,12:30- 1:50p,SBSG 4323
54165,TuTh,9:30-10:50 ,SSH 100
54170,TuTh,2:00- 3:20p,PCB 1100
54182,MW,11:00-12:20p,SE2 1304
54190,TuTh,8:00- 9:20 ,SSPA 1100
54200,W,6:00- 8:50p,HG 1800
54210,TuTh,12:30- 1:50p,DBH 1100
54220,TuTh,3:30- 4:50p,HG 1800
54250,TuTh,5:00- 6:20p,DBH 1600
54370,MWF,12:00-12:50p,ALP 1600
54412,Tu,1:30- 2:50p,SBSG 4105
54416,Tu,8:00- 8:50 ,SBSG 4323
54450,W,11:00- 1:50p,SBSG 4323
54455,M,5:00- 7:50p,SBSG 4323
54475,F,11:00- 1:50p,SBSG 4323
54480,Tu,5:00- 7:50p,SBSG 4105
54520,W,2:00- 4:50p,SBSG 4323
54530,F,8:00-10:50 ,SBSG 4200
54540,Tu,9:00-11:50 ,SE2 2372
54560,M,5:00- 7:50p,SBSG 3260
54580,F,11:00- 1:50p,SBSG 4105
54660,M,12:00- 1:20p,SBSG 3260
68000,TuTh,8:00- 9:20 ,ON LINE
68001,Tu,10:00-10:50 ,ON LINE
68002,Tu,11:00-11:50 ,ON LINE
68003,W,5:00- 5:50p,ON LINE
68004,W,6:00- 6:50p,ON LINE
68010,TuTh,9:30-10:50 ,ON LINE
68011,Tu,4:00- 4:50p,ON LINE
68012,Tu,6:00- 6:50p,ON LINE
68013,W,2:00- 2:50p,ON LINE
68014,W,3:00- 3:50p,ON LINE
68020,TuTh,9:30-10:50 ,ON LINE
68021,Tu,2:00- 2:50p,ON LINE
68022,Tu,5:00- 5:50p,ON LINE
68023,W,5:00- 5:50p,ON LINE
68024,W,6:00- 6:50p,ON LINE
68030,TuTh,11:00-12:20p,ON LINE
68031,Tu,6:00- 6:50p,ON LINE
68032,Tu,7:00- 7:50p,ON LINE
68033,W,3:00- 3:50p,ON LINE
68034,W,4:00- 4:50p,ON LINE
68040,TuTh,12:30- 1:50p,PSLH 100
68041,M,2:00- 2:50p,SST 220B
68042,M,5:00- 5:50p,SST 220B
68043,M,6:00- 6:50p,SST 220B
68044,Tu,6:00- 6:50p,SST 220B
68045,Tu,7:00- 7:50p,HH 262
68046,W,3:00- 3:50p,HH 262
68047,W,5:00- 5:50p,SST 220B
68048,W,6:00- 6:50p,HH 262
68050,TuTh,2:00- 3:20p,ALP 1300
68051,W,3:00- 3:50p,SST 220B
68052,W,4:00- 4:50p,SST 220B
68053,W,5:00- 5:50p,SST 220A
68054,W,6:00- 6:50p,SST 220A
68055,Th,4:00- 4:50p,ALP 2500
68056,Th,5:00- 5:50p,SST 220A
68057,Th,6:00- 6:50p,SST 220A
68058,Th,7:00- 7:50p,SST 220A
68070,TuTh,9:30-10:50 ,SSLH 100
68080,TuTh,2:00- 3:20p,BS3 1200
68100,MWF,10:00-10:50 ,SSH 100
68101,W,2:00- 2:50p,ALP 3600
68102,W,3:00- 3:50p,ALP 3600
68103,W,4:00- 4:50p,ALP 3600
68104,W,2:00- 2:50p,ALP 3610
68105,W,3:00- 3:50p,ALP 3610
68106,W,4:00- 4:50p,ALP 3610
68110,MWF,9:00- 9:50 ,ON LINE
68111,Th,5:00- 5:50p,ON LINE
68112,Th,6:00- 6:50p,ON LINE
68113,F,11:00-11:50 ,ON LINE
68114,F,12:00-12:50p,ON LINE
68130,MWF,2:00- 2:50p,ELH 100
68170,TuTh,3:30- 4:50p,SSL 228
68210,MWF,10:00-10:50 ,HH 262
68211,Tu,5:00- 7:50p,ALP 3600
68212,W,5:00- 7:50p,ALP 3600
68213,Th,5:00- 7:50p,ALP 3600
68240,MW,1:00- 2:20pMW 1:00- 2:20p,MSTB 210MSTB 226
68241,F,1:00- 3:50pF 1:00- 3:50p,MSTB 210MSTB 226
68260,TuTh,8:00- 9:20 ,PCB 1100
68280,MWF,11:00-11:50 ,HH 178
68290,MWF,12:00-12:50p,ALP 2300
68350,MWF,3:00- 3:50p,HH 178
68360,TuTh,9:30-10:50 ,SSL 270
68400,MWF,2:00- 2:50p,HH 178
68500,TuTh,3:30- 4:50p,HH 262
68620,MWF,1:00- 1:50p,SSL 270
68680,Th,7:00- 9:50p,SSL 228
68681,Tu,1:00- 1:50p,SSL 145
68683,W,3:00- 3:50p,SSTR 100
68684,Th,1:00- 1:50p,SSL 105
68690,TuTh,8:00- 9:20 ,SSPA 1100
81015,MW,9:30-10:50 ,DBH 1600
81050,TuTh,8:00- 9:20 ,DBH 1600
81052,Tu,11:00-11:50 ,ALP 2200
81053,Tu,5:00- 5:50p,HH 143
81100,TuTh,3:30- 4:50p,BS3 1200
81101,M,11:00-12:20p,NS1 2108
81102,M,2:00- 3:20p,NS1 2108
81103,Tu,11:00-12:20p,NS1 2108
81104,M,12:30- 1:50p,NS1 2108
81105,F,10:00-11:20 ,NS1 2108
81106,Tu,2:00- 3:20p,NS1 2108
81107,M,3:30- 4:50p,NS1 2108
81108,Tu,5:00- 6:20p,NS1 2108
81109,W,3:30- 4:50p,NS1 2108
81110,W,11:00-12:20p,NS1 2108
81111,W,12:30- 1:50p,NS1 2108
81112,W,2:00- 3:20p,NS1 2108
81113,F,3:30- 4:50p,NS1 2108
81114,W,5:00- 6:20p,NS1 2108
81115,M,5:00- 6:20p,NS1 2108
81116,Th,11:00-12:20p,NS1 2108
81117,F,5:00- 6:20p,NS1 2108
81118,Th,12:30- 1:50p,NS1 2108
81119,Th,2:00- 3:20p,NS1 2108
81120,Th,5:00- 6:20p,NS1 2108
81121,F,2:00- 3:20p,NS1 2108
81122,W,9:30-10:50 ,NS1 2108
81123,Tu,12:30- 1:50p,NS1 2108
81124,F,12:30- 1:50p,NS1 2108
81143,TuTh,2:00- 3:20p,DBH 1600
81147,W,5:00- 5:50p,HH 112
81150,TuTh,5:00- 6:20p,DBH 1600
81155,TuTh,2:00- 3:20p,HIB 100
81165,MW,8:00- 9:20 ,DBH 1600
81175,TuTh,11:00-12:20p,DBH 1600
81177,TuTh,12:30- 1:50p,SH 134
81210,TuTh,9:30-10:50 ,DBH 1600
81230,W,6:30- 9:20p,ALP 2300
81233,M,2:00- 2:50p,HICF 100Q
81234,M,3:00- 3:50p,HICF 100Q
81401,TuTh,12:30- 1:50p,DBH 1600
31150,MWF,12:00-12:50p,SSH 100
31151,Th,8:00- 8:50 ,HICF 100K
31152,Th,9:00- 9:50 ,HICF 100K
31153,Th,10:00-10:50 ,HICF 100K
31154,Th,11:00-11:50 ,HICF 100K
31155,Th,4:00- 4:50p,HICF 100M
31156,Th,5:00- 5:50p,HICF 100M
31160,TuTh,9:30-10:50 ,HH 178
31161,Tu,7:00- 7:50p,SSTR 100
31162,Tu,8:00- 8:50p,SSTR 100
31163,W,5:00- 5:50p,SE 101
31180,MWF,12:00-12:50p,HH 242
31181,MW,2:00- 3:20p,SH 128
31182,M,4:00- 4:50p,HICF 100L
31183,M,5:00- 5:50p,HICF 100L
31185,TuTh,12:30- 1:50p,HH 112
31187,TuTh,3:30- 4:50p,HH 112
31190,TuTh,2:00- 3:20p,HH 262
31200,MWF,1:00- 1:50p,SSL 140
31201,M,9:00- 9:50 ,SSL 145
31202,M,12:00-12:50p,SSPA 1170
31203,F,10:00-10:50 ,HH 118
86510,Th,6:00- 8:50 ,DBH 1300
86521,Tu,9:00-10:50 ,AIRB 1030
86522,MW,7:00- 7:50 ,ALP 1110
86600,Th,6:00- 8:50 ,ALP 1100
86631,Tu,6:00- 8:50 ,ALP 1100
31250,TuTh,11:00-12:20p,HH 236
31251,TuTh,12:30- 1:50p,HH 236
31265,TuTh,2:00- 3:20p,DBH 1420
31274,TuTh,11:00-12:20p,HICF 100Q
70005,TuTh,12:30- 1:50p,ALP 2100
70010,TuTh,12:30- 1:50p,SSPA 1100
70012,Th,4:00- 5:50p,DBH 1423
70013,W,2:00- 3:50p,DBH 1427
70014,W,4:00- 5:50p,SSL 155
70015,W,10:00-11:50 ,SSL 155
70016,Th,10:00-11:50 ,SSL 155
70111,TuTh,5:00- 6:20p,ON LINE
70112,WF,8:00- 9:20 ,ON LINE
70113,WF,9:30-10:50 ,ON LINE
70114,WF,11:00-12:20p,ON LINE
70115,TuTh,12:30- 1:50p,ON LINE
70116,WF,12:30- 1:50p,ON LINE
70117,WF,2:00- 3:20p,ON LINE
70118,TuTh,3:30- 4:50p,ON LINE
70119,TuTh,11:00-12:20p,ON LINE
70120,MWF,2:00- 2:50p,SSLH 100
70121,TuTh,11:00-12:20p,SBSG 1241
70122,TuTh,8:00- 9:20 ,SBSG 1241
70123,MW,5:00- 6:20p,SBSG 1241
70124,MW,3:30- 4:50p,SBSG 1241
70125,TuTh,2:00- 3:20p,SBSG 1241
70126,MW,6:30- 7:50p,SBSG 1241
70127,TuTh,9:30-10:50 ,SBSG 1241
70128,TuTh,12:30- 1:50p,SBSG 1241
70129,MW,9:00-10:20 ,SBSG 1241
70140,TuTh,11:00-12:20p,SSLH 100
70141,M,9:00- 9:50 ,SST 122
70142,M,10:00-10:50 ,SST 122
70143,M,11:00-11:50 ,SSTR 100
70145,Tu,5:00- 5:50p,SST 120
70146,W,9:00- 9:50 ,SSL 129
70149,W,5:00- 5:50p,SST 122
70150,W,6:00- 6:50p,SST 122
70151,Th,1:00- 1:50p,SST 122
70152,Th,5:00- 5:50p,SST 120
70153,F,9:00- 9:50 ,SST 122
70165,TuTh,11:00-12:20p,SSPA 1100
70168,TuTh,2:00- 3:20p,ON LINE
70170,TuTh,5:00- 6:20p,PCB 1100
70171,F,11:00-11:50 ,ALP 3610
70172,Th,4:00- 4:50p,ALP 3610
70173,W,9:00- 9:50 ,ALP 3610
70174,M,12:00-12:50p,ALP 3610
70175,M,6:00- 6:50p,ALP 3610
70176,Tu,4:00- 4:50p,ALP 3610
70177,M,5:00- 5:50p,ALP 3610
70178,W,8:00- 8:50 ,ALP 3610
70179,Th,9:00- 9:50 ,ALP 3610
70180,W,10:00-10:50 ,ALP 3610
70190,MWF,12:00-12:50p,SSPA 1100
70191,M,1:00- 1:50p,SBSG 1241
70192,M,2:00- 2:50p,SBSG 1241
70193,F,4:00- 4:50p,SBSG 1241
70200,TuTh,9:30-10:50 ,SH 134
70230,TuTh,11:00-12:20p,SSL 228
70260,TuTh,8:00- 9:20 ,SST 220A
70270,MW,12:30- 1:50p,ELH 100
70271,Th,11:00-11:50 ,SST 238
70272,Th,12:00-12:50p,SST 238
70273,F,9:00- 9:50 ,SST 238
70274,F,10:00-10:50 ,SST 238
70275,F,11:00-11:50 ,SST 238
70276,F,12:00-12:50p,SST 238
70450,TuTh,8:00- 9:20 ,SSPA 1100
70470,TuTh,3:30- 4:50p,PSCB 120
70474,TuTh,3:30- 4:50p,SST 220A
70475,Th,7:00- 9:50p,MPAA 330
70505,TuTh,8:00- 9:20 ,HH 143
70510,TuTh,3:30- 4:50p,HICF 100K
70520,TuTh,2:00- 3:20p,HICF 100K
70600,TuTh,5:00- 6:20p,SSPA 1100
70605,MWF,1:00- 1:50p,ALP 2600
70606,M,9:00- 9:50 ,SSL 206
70607,Th,1:00- 1:50p,SSPA 1165
70630,M,10:00-12:50p,SSL 206
70750,Tu,1:00- 2:50p,SST 220A
71060,TuTh,12:30- 1:50p,SE 101
71076,TuTh,9:30-10:50 ,SST 220A
71140,TuTh,5:00- 6:20p,MPAA 330
71150,Th,7:00- 9:50p,SST 120
71160,W,7:00- 9:50p,SE 101
71222,TuTh,3:30- 4:50p,DBH 1200
71245,TuTh,2:00- 3:20p,SSPA 1170
71300,TuTh,11:00-12:20p,SST 220A
71335,W,7:00- 9:50p,SST 220B
71825,Th,2:00- 3:50p,SBSG 1200
71831,M,3:00- 5:50p,SST 120
71835,M,11:00-11:50 ,SBSG 1200
71840,M,3:00- 4:50p,SST 238
71892,Th,5:00- 9:50p,SBSG 1321
72500,F,10:00-12:50p,SST 318
50000,TuTh,11:00-12:20p,BS3 1200
50001,M,2:00- 2:50p,SE 101
50002,M,3:00- 3:50p,SE 101
50003,Tu,2:00- 2:50p,SSTR 100
50004,Tu,4:00- 4:50p,SSPA 1170
50005,Tu,5:00- 5:50p,SST 220A
50006,W,12:00-12:50p,SST 220A
50007,W,1:00- 1:50p,SST 220A
50008,W,5:00- 5:50p,SSTR 100
50020,TuTh,9:30-10:50 ,ALP 1600
50022,M,9:00- 9:50 ,ALP 1100
50024,W,9:00- 9:50 ,ALP 1100
50026,M,12:00-12:50p,ALP 1110
50028,W,12:00-12:50p,ALP 1110
50080,TuTh,12:30- 1:50p,SSPA 1100
50082,Th,4:00- 5:50p,DBH 1423
50083,W,2:00- 3:50p,DBH 1427
50084,W,4:00- 5:50p,SSL 155
50085,W,10:00-11:50 ,SSL 155
50086,Th,10:00-11:50 ,SSL 155
50105,TuTh,11:00-12:20p,SE 101
50110,TuTh,12:30- 1:50p,SBSG 4323
50200,TuTh,5:00- 6:20p,SSPA 1100
50226,M,10:00-11:20 ,BS3 2130
50240,TuTh,9:30-10:50 ,ALP 2500
50250,Tu,10:00-10:50 ,SE 101
50254,Th,11:00-11:50 ,SSL 159
50258,F,10:00-10:50 ,SSL 119
50260,Tu,4:00- 4:50p,SST 238
50270,Tu,10:00-10:50 ,SST 220B
50271,Tu,11:00-11:50 ,SST 220B
50272,M,10:00-11:20 ,SST 220A
50273,W,9:00-10:20 ,SSL 159
50275,M,10:00-10:50 ,ALP 2100
50276,W,2:00- 2:50p,SE 101
50367,W,3:00- 4:50p,SSL 152
50375,W,2:00- 4:50p,SST 220A
50520,W,9:00-11:50 ,SE2 2372
50521,W,1:00- 2:20p,SBSG 4200
50522,W,2:30- 3:50p,SBSG 4200
50530,MW,10:30-11:50 ,SBSG 4200
50531,W,5:00- 6:50p,SBSG 4200
69000,MWF,9:00- 9:50 ,HIB 100
69001,Tu,11:00-11:50 ,SSL 145
69003,M,2:00- 2:50p,SSL 145
69004,W,8:00- 8:50 ,SSL 145
69005,W,12:00-12:50p,SSL 145
69006,Tu,1:00- 1:50p,SSL 206
69007,W,1:00- 1:50p,SSL 145
69008,Th,1:00- 1:50p,SSL 145
69009,Th,3:00- 3:50p,SSL 145
69010,F,8:00- 8:50 ,SSL 145
69011,F,12:00-12:50p,SSL 145
69012,F,2:00- 2:50p,SSL 145
69020,MWF,2:00- 2:50p,BS3 1200
69021,M,11:00-11:50 ,SSL 145
69022,M,10:00-10:50 ,SSL 145
69023,M,4:00- 4:50p,SSL 145
69024,Th,4:00- 4:50p,SSL 145
69025,W,5:00- 5:50p,SSL 145
69026,W,10:00-10:50 ,SSL 145
69027,Tu,11:00-11:50 ,SE2 1306
69028,Tu,4:00- 4:50p,SSL 145
69030,Tu,8:00- 8:50 ,SSL 145
69031,F,11:00-11:50 ,SSL 145
69040,TuTh,11:00-12:20p,ELH 100
69041,Tu,9:00- 9:50 ,SSL 145
69042,Tu,2:00- 2:50p,SSL 145
69043,M,1:00- 1:50p,SSL 145
69044,Th,2:00- 2:50p,SSL 145
69045,W,2:00- 2:50p,SSL 145
69047,Th,4:00- 4:50p,PSCB 240
69048,Tu,3:00- 3:50p,SSL 145
69049,F,10:00-10:50 ,SSL 145
69060,MWF,10:00-10:50 ,PCB 1100
69071,M,9:00- 9:50 ,ON LINE
69072,M,1:00- 1:50p,ON LINE
69073,Th,2:00- 2:50p,ON LINE
69074,W,10:00-10:50 ,ON LINE
69075,M,10:00-10:50 ,ON LINE
69076,Tu,3:00- 3:50p,ON LINE
69077,Tu,4:00- 4:50p,ON LINE
69078,Th,11:00-11:50 ,ON LINE
69079,F,10:00-10:50 ,ON LINE
69081,M,11:00-11:50 ,ON LINE
69082,M,1:00- 1:50p,ON LINE
69083,Th,4:00- 4:50p,ON LINE
69084,W,10:00-10:50 ,ON LINE
69085,Tu,1:00- 1:50p,ON LINE
69086,W,11:00-11:50 ,ON LINE
69087,Tu,1:00- 1:50p,ON LINE
69088,F,1:00- 1:50p,ON LINE
69089,F,10:00-10:50 ,ON LINE
69090,TuTh,9:30-10:50 ,PCB 1100
69092,M,10:00-10:50 ,SSL 119
69093,M,2:00- 2:50p,SSL 155
69094,Tu,3:00- 3:50p,SSL 129
69095,Tu,11:00-11:50 ,SSL 159
